[ 2025-02-13 23:12:25,002 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-13 23:12:29,107 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-13 23:12:29,107 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-13 23:12:29,108 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-13 23:12:29,166 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-13 23:12:29,166 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-13 23:12:29,176 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-13 23:12:29,285 ] 32 root - INFO - Required number of columns:2
[ 2025-02-13 23:12:29,289 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-13 23:12:29,289 ] 32 root - INFO - Required number of columns:2
[ 2025-02-13 23:12:29,289 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-13 23:12:29,441 ] 29 root - INFO - data Validation Completed
[ 2025-02-13 23:12:29,442 ] 33 root - INFO - data Transformation started
[ 2025-02-13 23:12:29,442 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-13 23:12:29,442 ] 65 root - INFO - Starting data transformation
[ 2025-02-13 23:12:29,480 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-13 23:12:29,480 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-13 23:12:29,510 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-13 23:12:29,514 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-13 23:12:29,517 ] 37 root - INFO - data Transformation completed
[ 2025-02-13 23:12:29,517 ] 39 root - INFO - Model Training sstared
[ 2025-02-13 23:16:36,617 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-13 23:16:36,619 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-13 23:16:36,619 ] 107 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_13_2025_23_12_20\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917874885937341, precision_score=0.9898805909734871, recall_score=0.9937017472572125), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9718196457326892, precision_score=0.966373098478783, recall_score=0.977327935222672))
[ 2025-02-13 23:16:36,624 ] 44 root - INFO - Model Training artifact created
